INFO     | 2020-05-25 02:33:20,130 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2020-05-25 02:33:20,136 | config     | Setting 'alignment' to 'infile.phy'
INFO     | 2020-05-25 02:33:20,136 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2020-05-25 02:33:20,136 | parser     | You set 'models' to: mrbayes
INFO     | 2020-05-25 02:33:20,189 | model_load | This analysis will use the following 24 models of molecular evolution
INFO     | 2020-05-25 02:33:20,190 | model_load | JC, K80, SYM, F81, HKY, GTR, JC+G, K80+G, SYM+G, F81+G, HKY+G, GTR+G, JC+I, K80+I, SYM+I, F81+I, HKY+I, GTR+I, JC+I+G, K80+I+G, SYM+I+G, F81+I+G, HKY+I+G, GTR+I+G
INFO     | 2020-05-25 02:33:20,190 | config     | Setting 'model_selection' to 'bic'
INFO     | 2020-05-25 02:33:20,195 | config     | Setting 'search' to 'greedy'
INFO     | 2020-05-25 02:33:20,195 | config     | ------------------------ BEGINNING NEW RUN -------------------------------
INFO     | 2020-05-25 02:33:20,195 | config     | Looking for alignment file './infile.phy'...
INFO     | 2020-05-25 02:33:20,195 | analysis   | Beginning Analysis
INFO     | 2020-05-25 02:33:23,273 | alignment  | Reading alignment file './infile.phy'
INFO     | 2020-05-25 02:33:23,379 | analysis   | Starting tree will be estimated from the data.
INFO     | 2020-05-25 02:33:23,381 | raxml      | Estimating Maximum Likelihood tree with RAxML fast experimental tree search for ./analysis/start_tree/filtered_source.phy
INFO     | 2020-05-25 02:33:23,386 | raxml      | Using a separate GTR+G model for each data block
INFO     | 2020-05-25 02:33:58,389 | raxml      | Estimating GTR+G branch lengths on ML tree using all partitions
INFO     | 2020-05-25 02:34:14,123 | raxml      | ML topology estimation finished
INFO     | 2020-05-25 02:34:14,129 | analysis_m | Performing Greedy Analysis
INFO     | 2020-05-25 02:34:14,129 | analysis_m |    *** Analysing starting scheme ***
INFO     | 2020-05-25 02:35:17,154 | progress   |       Finished subset 1/11, 9.09 percent done
INFO     | 2020-05-25 02:36:14,888 | progress   |       Finished subset 2/11, 18.18 percent done
INFO     | 2020-05-25 02:37:43,315 | progress   |       Finished subset 3/11, 27.27 percent done
INFO     | 2020-05-25 02:38:55,951 | progress   |       Finished subset 4/11, 36.36 percent done
INFO     | 2020-05-25 02:39:35,227 | progress   |       Finished subset 5/11, 45.45 percent done
INFO     | 2020-05-25 02:39:43,171 | progress   |       Finished subset 6/11, 54.55 percent done
INFO     | 2020-05-25 02:40:12,803 | progress   |       Finished subset 7/11, 63.64 percent done
INFO     | 2020-05-25 02:40:44,690 | progress   |       Finished subset 8/11, 72.73 percent done
INFO     | 2020-05-25 02:41:09,119 | progress   |       Finished subset 9/11, 81.82 percent done
INFO     | 2020-05-25 02:41:33,737 | progress   |       Finished subset 10/11, 90.91 percent done
INFO     | 2020-05-25 02:41:39,792 | progress   |       Finished subset 11/11, 100.00 percent done
INFO     | 2020-05-25 02:41:39,805 | analysis_m |    ***Greedy algorithm step 1***
INFO     | 2020-05-25 02:41:39,806 | analysis_m |       Analysing 55 new subset pairs
INFO     | 2020-05-25 02:43:52,424 | progress   |       Finished subset 1/55, 1.82 percent done
INFO     | 2020-05-25 02:48:05,660 | progress   |       Finished subset 2/55, 3.64 percent done
INFO     | 2020-05-25 02:48:06,632 | progress   |       Finished subset 3/55, 5.45 percent done
INFO     | 2020-05-25 02:50:49,907 | progress   |       Finished subset 4/55, 7.27 percent done
INFO     | 2020-05-25 02:52:00,175 | progress   |       Finished subset 5/55, 9.09 percent done
INFO     | 2020-05-25 02:55:46,346 | progress   |       Finished subset 6/55, 10.91 percent done
INFO     | 2020-05-25 02:55:53,905 | progress   |       Finished subset 7/55, 12.73 percent done
INFO     | 2020-05-25 02:59:45,837 | progress   |       Finished subset 8/55, 14.55 percent done
INFO     | 2020-05-25 02:59:58,122 | progress   |       Finished subset 9/55, 16.36 percent done
INFO     | 2020-05-25 03:01:18,394 | progress   |       Finished subset 10/55, 18.18 percent done
INFO     | 2020-05-25 03:04:32,737 | progress   |       Finished subset 11/55, 20.00 percent done
INFO     | 2020-05-25 03:05:03,062 | progress   |       Finished subset 12/55, 21.82 percent done
INFO     | 2020-05-25 03:08:03,008 | progress   |       Finished subset 13/55, 23.64 percent done
INFO     | 2020-05-25 03:08:05,605 | progress   |       Finished subset 14/55, 25.45 percent done
INFO     | 2020-05-25 03:10:04,872 | progress   |       Finished subset 15/55, 27.27 percent done
INFO     | 2020-05-25 03:13:37,744 | progress   |       Finished subset 16/55, 29.09 percent done
INFO     | 2020-05-25 03:13:49,918 | progress   |       Finished subset 17/55, 30.91 percent done
INFO     | 2020-05-25 03:15:13,192 | progress   |       Finished subset 18/55, 32.73 percent done
INFO     | 2020-05-25 03:16:22,758 | progress   |       Finished subset 19/55, 34.55 percent done
INFO     | 2020-05-25 03:18:06,241 | progress   |       Finished subset 20/55, 36.36 percent done
INFO     | 2020-05-25 03:19:33,891 | progress   |       Finished subset 21/55, 38.18 percent done
INFO     | 2020-05-25 03:21:37,536 | progress   |       Finished subset 22/55, 40.00 percent done
INFO     | 2020-05-25 03:22:44,784 | progress   |       Finished subset 23/55, 41.82 percent done
INFO     | 2020-05-25 03:23:32,473 | progress   |       Finished subset 24/55, 43.64 percent done
INFO     | 2020-05-25 03:25:25,340 | progress   |       Finished subset 25/55, 45.45 percent done
INFO     | 2020-05-25 03:26:34,363 | progress   |       Finished subset 26/55, 47.27 percent done
INFO     | 2020-05-25 03:27:34,933 | progress   |       Finished subset 27/55, 49.09 percent done
INFO     | 2020-05-25 03:28:32,129 | progress   |       Finished subset 28/55, 50.91 percent done
INFO     | 2020-05-25 03:30:09,904 | progress   |       Finished subset 29/55, 52.73 percent done
INFO     | 2020-05-25 03:31:08,277 | progress   |       Finished subset 30/55, 54.55 percent done
INFO     | 2020-05-25 03:31:51,107 | progress   |       Finished subset 31/55, 56.36 percent done
INFO     | 2020-05-25 03:33:43,129 | progress   |       Finished subset 32/55, 58.18 percent done
INFO     | 2020-05-25 03:34:39,689 | progress   |       Finished subset 33/55, 60.00 percent done
INFO     | 2020-05-25 03:36:19,055 | progress   |       Finished subset 34/55, 61.82 percent done
INFO     | 2020-05-25 03:37:21,634 | progress   |       Finished subset 35/55, 63.64 percent done
INFO     | 2020-05-25 03:39:10,754 | progress   |       Finished subset 36/55, 65.45 percent done
INFO     | 2020-05-25 03:40:05,503 | progress   |       Finished subset 37/55, 67.27 percent done
INFO     | 2020-05-25 03:40:31,221 | progress   |       Finished subset 38/55, 69.09 percent done
INFO     | 2020-05-25 03:42:04,578 | progress   |       Finished subset 39/55, 70.91 percent done
INFO     | 2020-05-25 03:42:49,759 | progress   |       Finished subset 40/55, 72.73 percent done
INFO     | 2020-05-25 03:43:40,496 | progress   |       Finished subset 41/55, 74.55 percent done
INFO     | 2020-05-25 03:45:06,287 | progress   |       Finished subset 42/55, 76.36 percent done
INFO     | 2020-05-25 03:45:54,311 | progress   |       Finished subset 43/55, 78.18 percent done
INFO     | 2020-05-25 03:46:44,451 | progress   |       Finished subset 44/55, 80.00 percent done
INFO     | 2020-05-25 03:47:56,539 | progress   |       Finished subset 45/55, 81.82 percent done
INFO     | 2020-05-25 03:48:52,232 | progress   |       Finished subset 46/55, 83.64 percent done
INFO     | 2020-05-25 03:50:45,852 | progress   |       Finished subset 47/55, 85.45 percent done
INFO     | 2020-05-25 03:50:50,291 | progress   |       Finished subset 48/55, 87.27 percent done
INFO     | 2020-05-25 03:51:39,058 | progress   |       Finished subset 49/55, 89.09 percent done
