state,range
0,0000000
1,1000000
2,0100000
3,1100000
4,0010000
5,1010000
6,0110000
7,1110000
8,0001000
9,1001000
10,0101000
11,1101000
12,0011000
13,1011000
14,0111000
15,1111000
16,0000100
17,1000100
18,0100100
19,1100100
20,0010100
21,1010100
22,0110100
23,1110100
24,0001100
25,1001100
26,0101100
27,1101100
28,0011100
29,1011100
30,0111100
31,1111100
32,0000010
33,1000010
34,0100010
35,1100010
36,0010010
37,1010010
38,0110010
39,1110010
40,0001010
41,1001010
42,0101010
43,1101010
44,0011010
45,1011010
46,0111010
47,1111010
48,0000110
49,1000110
50,0100110
51,1100110
52,0010110
53,1010110
54,0110110
55,1110110
56,0001110
57,1001110
58,0101110
59,1101110
60,0011110
61,1011110
62,0111110
63,1111110
64,0000001
65,1000001
66,0100001
67,1100001
68,0010001
69,1010001
70,0110001
71,1110001
72,0001001
73,1001001
74,0101001
75,1101001
76,0011001
77,1011001
78,0111001
79,1111001
80,0000101
81,1000101
82,0100101
83,1100101
84,0010101
85,1010101
86,0110101
87,1110101
88,0001101
89,1001101
90,0101101
91,1101101
92,0011101
93,1011101
94,0111101
95,1111101
96,0000011
97,1000011
98,0100011
99,1100011
100,0010011
101,1010011
102,0110011
103,1110011
104,0001011
105,1001011
106,0101011
107,1101011
108,0011011
109,1011011
110,0111011
111,1111011
112,0000111
113,1000111
114,0100111
115,1100111
116,0010111
117,1010111
118,0110111
119,1110111
120,0001111
121,1001111
122,0101111
123,1101111
124,0011111
125,1011111
126,0111111
127,1111111
