Iteration	Posterior	Likelihood	Prior	extirpation_rate	log10_rate_bg	rate_bg
0	-248.0743	-246.3977	-1.676634	1.021812	-2	0.01
100	-202.4087	-199.4	-3.00869	1.702947	-0.6068652	0.2472491
200	-204.5111	-203.1458	-1.365307	0.6602537	-0.678047	0.2098713
300	-203.6018	-202.2282	-1.373586	0.7414335	-0.4402404	0.3628772
400	-202.945	-198.8877	-4.057341	2.194323	-0.5241062	0.2991533
500	-203.0274	-201.4591	-1.568255	0.9474964	-0.3873672	0.4098574
600	-202.3961	-199.0679	-3.328195	1.852417	-0.5665696	0.2712879
700	-202.0107	-199.8147	-2.196012	1.310917	-0.5461294	0.2843614
800	-202.6376	-199.637	-3.000664	1.69918	-0.6386493	0.2298003
900	-203.1803	-201.1773	-2.002992	1.210564	-0.3401871	0.4568914
1000	-202.0036	-199.7095	-2.294129	1.360235	-0.4853356	0.3270878
1100	-204.4541	-200.8843	-3.569794	1.965299	-0.762345	0.1728443
1200	-202.8324	-201.3276	-1.504853	0.8977871	-0.4400817	0.3630098
1300	-202.7831	-201.2786	-1.504558	0.8975388	-0.4515959	0.3535119
1400	-203.6635	-199.0425	-4.620983	2.463292	-0.6322441	0.2332147
1500	-202.4177	-200.4764	-1.941327	1.17723	-0.6106487	0.2451045
1600	-202.0222	-199.4577	-2.56454	1.492404	-0.4968745	0.3185118
1700	-202.9372	-201.4437	-1.493449	0.8880604	-0.5927042	0.255444
1800	-202.6748	-199.1568	-3.517973	1.941072	-0.6069445	0.247204
1900	-203.9505	-199.5941	-4.356349	2.336311	-0.6907623	0.2038157
2000	-204.7775	-200.647	-4.13044	2.228905	-0.3481089	0.4486329
2100	-204.1341	-198.8509	-5.283192	2.787646	-0.5637599	0.2730487
2200	-203.0351	-201.089	-1.946124	1.179851	-0.3520729	0.4445567
2300	-203.3547	-201.2382	-2.116481	1.270187	-0.7098286	0.1950614
2400	-202.7841	-200.9839	-1.800243	1.097526	-0.3808439	0.4160601
2500	-202.1235	-199.5763	-2.547237	1.484072	-0.5783868	0.2640056
2600	-202.347	-200.5892	-1.757794	1.072303	-0.4464865	0.3576955
2700	-202.046	-199.6355	-2.410419	1.41764	-0.5622059	0.2740275
2800	-202.0478	-199.9347	-2.113139	1.268458	-0.5529123	0.2799546
2900	-202.5614	-199.5168	-3.044633	1.719803	-0.6270248	0.2360344
3000	-202.8718	-200.9781	-1.893706	1.150927	-0.6598279	0.2188629
3100	-202.6464	-199.3157	-3.330682	1.853578	-0.4530456	0.3523339
3200	-203.2137	-199.0398	-4.173919	2.249512	-0.4849531	0.327376
3300	-203.1502	-201.3453	-1.804889	1.100246	-0.3478701	0.4488796
3400	-203.7584	-198.831	-4.927461	2.612149	-0.5539674	0.2792754
3500	-203.2638	-198.9848	-4.278944	2.299414	-0.4953312	0.3196456
3600	-201.9787	-199.6043	-2.374405	1.399968	-0.5340593	0.2923753
3700	-203.9932	-202.6274	-1.365784	0.6583617	-0.5310485	0.2944093
3800	-202.4089	-200.0909	-2.318004	1.372105	-0.6252745	0.2369875
3900	-203.3253	-200.7715	-2.553782	1.487225	-0.3411327	0.4558976
4000	-202.1173	-199.2493	-2.86803	1.636794	-0.5457517	0.2846088
4100	-202.8376	-200.9689	-1.868658	1.136866	-0.3715528	0.425057
4200	-202.2117	-199.2115	-3.000206	1.698965	-0.4959379	0.3191994
4300	-202.068	-200.0394	-2.028588	1.224189	-0.4748526	0.3350791
4400	-202.1282	-199.395	-2.733262	1.573028	-0.5689815	0.2697854
4500	-202.4992	-199.7701	-2.729125	1.571063	-0.4194471	0.3806737
4600	-204.8833	-203.0333	-1.850004	1.126282	-0.8049774	0.1566833
4700	-203.6835	-200.3841	-3.299411	1.838972	-0.7204987	0.1903274
4800	-201.9675	-199.7072	-2.260261	1.343315	-0.5122638	0.3074229
4900	-202.5038	-200.8161	-1.687704	1.028906	-0.431928	0.3698895
5000	-202.0377	-199.9411	-2.096548	1.259854	-0.5474578	0.2834929
5100	-203.003	-201.5778	-1.425193	0.8208901	-0.4937481	0.320813
