state,range
0,0000000
1,1000000
2,0100000
3,0010000
4,0001000
5,0000100
6,0000010
7,0000001
8,1100000
9,1010000
10,0110000
11,1001000
12,0101000
13,0011000
14,1000100
15,0100100
16,0010100
17,0001100
18,1000010
19,0100010
20,0010010
21,0001010
22,0000110
23,1000001
24,0100001
25,0010001
26,0001001
27,0000101
28,0000011
29,1110000
30,1101000
31,1011000
32,0111000
33,1100100
34,1010100
35,0110100
36,1001100
37,0101100
38,0011100
39,1100010
40,1010010
41,0110010
42,1001010
43,0101010
44,0011010
45,1000110
46,0100110
47,0010110
48,0001110
49,1100001
50,1010001
51,0110001
52,1001001
53,0101001
54,0011001
55,1000101
56,0100101
57,0010101
58,0001101
59,1000011
60,0100011
61,0010011
62,0001011
63,0000111
64,1111000
65,1110100
66,1101100
67,1011100
68,0111100
69,1110010
70,1101010
71,1011010
72,0111010
73,1100110
74,1010110
75,0110110
76,1001110
77,0101110
78,0011110
79,1110001
80,1101001
81,1011001
82,0111001
83,1100101
84,1010101
85,0110101
86,1001101
87,0101101
88,0011101
89,1100011
90,1010011
91,0110011
92,1001011
93,0101011
94,0011011
95,1000111
96,0100111
97,0010111
98,0001111
99,1111100
100,1111010
101,1110110
102,1101110
103,1011110
104,0111110
105,1111001
106,1110101
107,1101101
108,1011101
109,0111101
110,1110011
111,1101011
112,1011011
113,0111011
114,1100111
115,1010111
116,0110111
117,1001111
118,0101111
119,0011111
120,1111110
121,1111101
122,1111011
123,1110111
124,1101111
125,1011111
126,0111111
127,1111111
